Channel,User,Ts,Year,Month,Day,Hour,Minute,Second
general,U2XFGAC57,1478684614.000004,70,0,0,3,44,44
general,U2XFGAC57,1478769402.000002,70,0,0,3,46,9
general,U2XFGAC57,1478769418.000003,70,0,0,3,46,9
general,U2XFGAC57,1478769571.000005,70,0,0,3,46,9
general,U2XFGAC57,1478769588.000006,70,0,0,3,46,9
general,U2XFGAC57,1478769607.000007,70,0,0,3,46,9
general,U2WQ03HBJ,1478846959.000002,70,0,0,3,47,26
general,U2WQ03HBJ,1478847076.000003,70,0,0,3,47,27
general,U2Y7DH19U,1479204739.000002,70,0,0,3,53,24
general,U2WQ03HBJ,1479204841.000003,70,0,0,3,53,24
general,U2Y7DH19U,1479204900.000004,70,0,0,3,53,24
general,U2Y7DH19U,1479204937.000005,70,0,0,3,53,24
general,U35MB0RS7,1479822864.000002,70,0,0,4,3,42
general,U35S0KGF7,1479823524.000003,70,0,0,4,3,43
general,U35S0KGF7,1479823746.000004,70,0,0,4,3,43
general,U35S0KGF7,1479823809.000005,70,0,0,4,3,43
general,U2XFGAC57,1479823867.000007,70,0,0,4,3,43
general,U2XFGAC57,1479823882.000008,70,0,0,4,3,43
general,U35S0KGF7,1479824034.000009,70,0,0,4,3,44
general,U35S0KGF7,1479824098.000010,70,0,0,4,3,44
general,U2XFGAC57,1479824798.000011,70,0,0,4,3,44
general,U2XFGAC57,1479824804.000012,70,0,0,4,3,44
general,U2XFGAC57,1479824823.000013,70,0,0,4,3,44
general,U2XFGAC57,1479824833.000014,70,0,0,4,3,44
general,U35MB0RS7,1479824890.000015,70,0,0,4,3,44
general,U35S0KGF7,1479825456.000016,70,0,0,4,3,45
general,U35S0KGF7,1479825596.000017,70,0,0,4,3,45
general,U35S0KGF7,1479893531.000002,70,0,0,4,4,53
general,U2WQ03HBJ,1479893972.000004,70,0,0,4,4,53
general,U2WQ03HBJ,1479894027.000006,70,0,0,4,4,54
general,U35S0KGF7,1479894398.000007,70,0,0,4,4,54
general,U35S0KGF7,1479894557.000009,70,0,0,4,4,54
general,U35S0KGF7,1479894640.000010,70,0,0,4,4,54
general,U2WQ03HBJ,1479894816.000011,70,0,0,4,4,54
general,U35S0KGF7,1479894898.000012,70,0,0,4,4,54
general,U2WQ03HBJ,1479895084.000013,70,0,0,4,4,55
general,U35S0KGF7,1479895419.000014,70,0,0,4,4,55
general,U35S0KGF7,1479896058.000015,70,0,0,4,4,56
general,U35S0KGF7,1479896094.000016,70,0,0,4,4,56
general,U2WQ03HBJ,1479896170.000017,70,0,0,4,4,56
general,U2WQ03HBJ,1479896203.000018,70,0,0,4,4,56
general,U35S0KGF7,1479896232.000019,70,0,0,4,4,56
general,U2WQ03HBJ,1479896286.000020,70,0,0,4,4,56
general,U35MB0RS7,1479896306.000021,70,0,0,4,4,56
